meme;text0;text1
All-The-Things;work all the days;
All-The-Things;work;all the days!
All-The-Things;RM THE WHOLE BAMBOO;
All-The-Things;FINISHED FLYING;ASAP ALL THE THINGS
All-The-Things;test all the;memes
All-The-Things;Test all the;memes
All-The-Things;Fill;All the cubicles 
All-The-Things;lol;ll
All-The-Things;More render engines!!!;
All-The-Things;get all the disney movies;
All-The-Things;meme;all the things
All-The-Things;MEME;All the things
All-The-Things;GEt all the disney moves;
All-The-Things;when Mrs. Galvan;brings food to class
All-The-Things;I need ;all of the tones.
All-The-Things;Event ends at 7;Evolve all the Pokémon 
All-The-Things;Destroy the Electoral College!;Make America Gre- ...um, rawr!
All-The-Things;Destroy the Electoral College!;Make America Gr- ....um, rawr!
All-The-Things;9 Cheers;for duplication of effort
All-The-Things;Download;All the things!
All-The-Things;what do i want?;to beat up people!!!!!!!!!!!!!!!!!!!
All-The-Things;VAL;ALL THE THINGS
All-The-Things;Bring me all;the ice cream, please!!!
All-The-Things;SMASH;All the things
All-The-Things;work all the days;
All-The-Things;work;all the days!
All-The-Things;RM THE WHOLE BAMBOO;
All-The-Things;FINISHED FLYING;ASAP ALL THE THINGS
All-The-Things;test all the;memes
All-The-Things;Test all the;memes
All-The-Things;Fill;All the cubicles 
All-The-Things;lol;ll
All-The-Things;More render engines!!!;
All-The-Things;get all the disney movies;
All-The-Things;meme;all the things
All-The-Things;MEME;All the things
All-The-Things;GEt all the disney moves;
All-The-Things;when Mrs. Galvan;brings food to class
All-The-Things;I need ;all of the tones.
All-The-Things;Event ends at 7;Evolve all the Pokémon 
All-The-Things;Destroy the Electoral College!;Make America Gre- ...um, rawr!
All-The-Things;Destroy the Electoral College!;Make America Gr- ....um, rawr!
All-The-Things;9 Cheers;for duplication of effort
All-The-Things;Download;All the things!
All-The-Things;what do i want?;to beat up people!!!!!!!!!!!!!!!!!!!
All-The-Things;VAL;ALL THE THINGS
All-The-Things;Bring me all;the ice cream, please!!!
All-The-Things;SMASH;All the things
All-The-Things;work all the days;
All-The-Things;work;all the days!
All-The-Things;RM THE WHOLE BAMBOO;
All-The-Things;FINISHED FLYING;ASAP ALL THE THINGS
All-The-Things;test all the;memes
All-The-Things;Test all the;memes
All-The-Things;Fill;All the cubicles 
All-The-Things;lol;ll
All-The-Things;More render engines!!!;
All-The-Things;get all the disney movies;
All-The-Things;meme;all the things
All-The-Things;MEME;All the things
All-The-Things;GEt all the disney moves;
All-The-Things;when Mrs. Galvan;brings food to class
All-The-Things;I need ;all of the tones.
All-The-Things;Event ends at 7;Evolve all the Pokémon 
All-The-Things;Destroy the Electoral College!;Make America Gre- ...um, rawr!
All-The-Things;Destroy the Electoral College!;Make America Gr- ....um, rawr!
All-The-Things;9 Cheers;for duplication of effort
All-The-Things;Download;All the things!
All-The-Things;what do i want?;to beat up people!!!!!!!!!!!!!!!!!!!
All-The-Things;VAL;ALL THE THINGS
All-The-Things;Bring me all;the ice cream, please!!!
All-The-Things;SMASH;All the things
All-The-Things;work all the days;
All-The-Things;work;all the days!
All-The-Things;RM THE WHOLE BAMBOO;
All-The-Things;FINISHED FLYING;ASAP ALL THE THINGS
All-The-Things;test all the;memes
All-The-Things;Test all the;memes
All-The-Things;Fill;All the cubicles 
All-The-Things;lol;ll
All-The-Things;More render engines!!!;
All-The-Things;get all the disney movies;
All-The-Things;meme;all the things
All-The-Things;MEME;All the things
All-The-Things;GEt all the disney moves;
All-The-Things;when Mrs. Galvan;brings food to class
All-The-Things;I need ;all of the tones.
All-The-Things;Event ends at 7;Evolve all the Pokémon 
All-The-Things;Destroy the Electoral College!;Make America Gre- ...um, rawr!
All-The-Things;Destroy the Electoral College!;Make America Gr- ....um, rawr!
All-The-Things;9 Cheers;for duplication of effort
All-The-Things;Download;All the things!
All-The-Things;what do i want?;to beat up people!!!!!!!!!!!!!!!!!!!
All-The-Things;VAL;ALL THE THINGS
All-The-Things;Bring me all;the ice cream, please!!!
All-The-Things;SMASH;All the things
All-The-Things;KILL ALL THE ;DATABASES
All-The-Things;Shoot all the;sunrises!
All-The-Things;;ALL THE SHOW COMMANDS
All-The-Things;scout all the talent;
All-The-Things;Teamburns;Is go!       
All-The-Things;Team burns;Is go!!!
All-The-Things;FAKE;ALL THE UTIL
All-The-Things;Automate ;Everything
All-The-Things;Feel all;the avocados
All-The-Things;RECEIVE;ALL THE THINGS
All-The-Things;Social Studies with Schilling;For The Win!
All-The-Things;Correct;All the baselines
All-The-Things;Let's Coach;Fervently!
All-The-Things;CORRELATE;ALL THE METRICS
All-The-Things;Wear all the sweaters;have all the culture
All-The-Things;invoice;all the things
All-The-Things;Land a sweet burn to win;All teh ponies
All-The-Things;finish all;the CL tasks!!
All-The-Things;it's presentation time;
All-The-Things;Break;All the code
All-The-Things;LET'S LEARN ALL;THE DECLENSIONS
All-The-Things;Hot Glue;all the things
All-The-Things;BURN ALL THE FLAGS;
All-The-Things;It's my day off;I'm doing all the things
Ancient-Aliens;Wait..........;We can revolt? 
Ancient-Aliens;;תימנים
Ancient-Aliens;;ŻONA
Ancient-Aliens;;Fashion
Ancient-Aliens;Canadians;
Ancient-Aliens;;Subaru
Ancient-Aliens;;Modelio
Ancient-Aliens;;OK
Ancient-Aliens;I HATE TO SAY I TOLD YOU SO;BUT I TOLD YOU SO
Ancient-Aliens;;Reasons
Ancient-Aliens;Getting raped to learn how to make Soulware;Jarrik
Ancient-Aliens;I'm not saying it was a CIA Black Site in Gdansk;But it was a CIA Black Site in Gdansk
Ancient-Aliens;;Soros
Ancient-Aliens;;knee-beards
Ancient-Aliens; ;...2016...
Ancient-Aliens;;Codecs
Ancient-Aliens;;Codecs
Ancient-Aliens;;Lambda
Ancient-Aliens;How do you write 50,000 words in one month?;NANOWRIMO
Ancient-Aliens;How do you write 50,000 in one month?;ALIENS
Ancient-Aliens;;SQUAD
Ancient-Aliens;I'm not saying it was vampires...;But it was vampires...
Ancient-Aliens;;surveillance...
Ancient-Aliens;;[SPOILERS]
Ancient-Aliens;Wait..........;We can revolt? 
Ancient-Aliens;;תימנים
Ancient-Aliens;;ŻONA
Ancient-Aliens;;Fashion
Ancient-Aliens;Canadians;
Ancient-Aliens;;Subaru
Ancient-Aliens;;Modelio
Ancient-Aliens;;OK
Ancient-Aliens;I HATE TO SAY I TOLD YOU SO;BUT I TOLD YOU SO
Ancient-Aliens;;Reasons
Ancient-Aliens;Getting raped to learn how to make Soulware;Jarrik
Ancient-Aliens;I'm not saying it was a CIA Black Site in Gdansk;But it was a CIA Black Site in Gdansk
Ancient-Aliens;;Soros
Ancient-Aliens;;knee-beards
Ancient-Aliens; ;...2016...
Ancient-Aliens;;Codecs
Ancient-Aliens;;Codecs
Ancient-Aliens;;Lambda
Ancient-Aliens;How do you write 50,000 words in one month?;NANOWRIMO
Ancient-Aliens;How do you write 50,000 in one month?;ALIENS
Ancient-Aliens;;SQUAD
Ancient-Aliens;I'm not saying it was vampires...;But it was vampires...
Ancient-Aliens;;surveillance...
Ancient-Aliens;;[SPOILERS]
Ancient-Aliens;Wait..........;We can revolt? 
Ancient-Aliens;;תימנים
Ancient-Aliens;;ŻONA
Ancient-Aliens;;Fashion
Ancient-Aliens;Canadians;
Ancient-Aliens;;Subaru
Ancient-Aliens;;Modelio
Ancient-Aliens;;OK
Ancient-Aliens;I HATE TO SAY I TOLD YOU SO;BUT I TOLD YOU SO
Ancient-Aliens;;Reasons
Ancient-Aliens;Getting raped to learn how to make Soulware;Jarrik
Ancient-Aliens;I'm not saying it was a CIA Black Site in Gdansk;But it was a CIA Black Site in Gdansk
Ancient-Aliens;;Soros
Ancient-Aliens;;knee-beards
Ancient-Aliens; ;...2016...
Ancient-Aliens;;Codecs
Ancient-Aliens;;Codecs
Ancient-Aliens;;Lambda
Ancient-Aliens;How do you write 50,000 words in one month?;NANOWRIMO
Ancient-Aliens;How do you write 50,000 in one month?;ALIENS
Ancient-Aliens;;SQUAD
Ancient-Aliens;I'm not saying it was vampires...;But it was vampires...
Ancient-Aliens;;surveillance...
Ancient-Aliens;;[SPOILERS]
Ancient-Aliens;Wait..........;We can revolt? 
Ancient-Aliens;;תימנים
Ancient-Aliens;;ŻONA
Ancient-Aliens;;Fashion
Ancient-Aliens;Canadians;
Ancient-Aliens;;Subaru
Ancient-Aliens;;Modelio
Ancient-Aliens;;OK
Ancient-Aliens;I HATE TO SAY I TOLD YOU SO;BUT I TOLD YOU SO
Ancient-Aliens;;Reasons
Ancient-Aliens;Getting raped to learn how to make Soulware;Jarrik
Ancient-Aliens;I'm not saying it was a CIA Black Site in Gdansk;But it was a CIA Black Site in Gdansk
Ancient-Aliens;;Soros
Ancient-Aliens;;knee-beards
Ancient-Aliens; ;...2016...
Ancient-Aliens;;Codecs
Ancient-Aliens;;Codecs
Ancient-Aliens;;Lambda
Ancient-Aliens;How do you write 50,000 words in one month?;NANOWRIMO
Ancient-Aliens;How do you write 50,000 in one month?;ALIENS
Ancient-Aliens;;SQUAD
Ancient-Aliens;I'm not saying it was vampires...;But it was vampires...
Ancient-Aliens;;surveillance...
Ancient-Aliens;;[SPOILERS]
Ancient-Aliens;The only way to defend the ICE team....;Ancient Aliens.
Ancient-Aliens;The only way I can defend what the ICE team did...;Ancient Aliens
Ancient-Aliens;I'm Not Saying they're nazis...;but they're Nazis
Ancient-Aliens;I'm not saying they're nazis...;but they're nazis
Ancient-Aliens;;men
Ancient-Aliens;I'm not saying it's PEBKAC;But, PEBKAC
Ancient-Aliens;i'm not saying its pebkac;but pebkac
Ancient-Aliens;;Sinadro
Ancient-Aliens;I am not saying it's Time Zones;But It's Time Zones
Ancient-Aliens;CHAMFERS;
Ancient-Aliens;CHAMFERS;
Ancient-Aliens;CHAMDERS;
Ancient-Aliens;CHAMFERS;
Ancient-Aliens;;Lemmings
Ancient-Aliens;;Haitians
Ancient-Aliens;;Asians
Ancient-Aliens;Mom: You are so lazy it's un-natural!;Me: Theory X
Ancient-Aliens;;Aliens
Ancient-Aliens;;telemetry
Ancient-Aliens;;telemetry   
Ancient-Aliens;;Tennis balls
Ancient-Aliens;;Emporia
Ancient-Aliens;I'm not saying Tobu sucks;but he just isn't as good as Skrilex 
Ancient-Aliens;;Sara
Bad-Luck-Brian;Meets overly attached girlfriend;Friendzoned
Bad-Luck-Brian;finds a pill for immortality;chokes on it
Bad-Luck-Brian;plays the tuba;hot girl thinks he's farting
Bad-Luck-Brian;Minimum wage gets increased 15%;cost of living increases 25%
Bad-Luck-Brian;i got a date with a girl!;medusa
Bad-Luck-Brian;When you try your best ;and you actually get the girl of your dreams
Bad-Luck-Brian;Minimum wage is increased;Gets replaced by robot
Bad-Luck-Brian;Has a porn name;its Butt Dangle
Bad-Luck-Brian;Mom makes your fav food;House burns down
Bad-Luck-Brian;Wears lucky red shirt;gets gunned down by the crips
Bad-Luck-Brian;Gets to bonus round on wheel of fortune ;Lands on bankrupt
Bad-Luck-Brian;Gets to bonus round on wheel of fortune ;Lands on bankrupt 
Bad-Luck-Brian;Gets dick sucked through glory-hole;"person on the other side of glory-hole; his mom"
Bad-Luck-Brian;deletes embarrassing email;starts email investigation
Bad-Luck-Brian;Watches star wars the force awakens;star wars
Bad-Luck-Brian;Plays Punch Out!;Gets knocked out by Glass Joe
Bad-Luck-Brian;Goes camping in the wilderness;"Listens to ""nature sounds"" on cell phone"
