meme;content
All-The-Things;Trebuchet all the things!
All-The-Things;Reload all the things
All-The-Things;Attend all the meetings
All-The-Things;Lock all the datasets
All-The-Things;Connect all the things
All-The-Things;Stay up all the hours
All-The-Things;Draw all the snapchat filters
All-The-Things;All the fires
All-The-Things;Wax all the hair
Ancient-Aliens;What kind of butts? Alien butts
Ancient-Aliens;Memes
Ancient-Aliens;Design space
Ancient-Aliens;Pat is dumb because aliens
Ancient-Aliens;Something
Ancient-Aliens;Github
Ancient-Aliens;Latency
Ancient-Aliens;Mondays
Bad-Luck-Brian;Ringtone goes off at funeral, let the bodies hit the floor
Bad-Luck-Brian;Escapes forest fire, gets hit by firetruck
Bad-Luck-Brian;Finally gets a girl, dies of excitement
Bad-Luck-Brian;Pays full price for a video game, goes on 80% sale 2 days later
Bad-Luck-Brian;Plays grand theft auto, car gets stolen
Bad-Luck-Brian;Takes spanish class, learns french
Bad-Luck-Brian;Has sex with a girl, still a virgin
Bad-Luck-Brian;Takes a laxative, doesn't have toilet paper
Conspiracy-Keanu;Was watching westworld when mom walked in, switched to porn because it was easier to explain
Conspiracy-Keanu;What if Trump doesn't want a wall to keep mexicans out, but to keep americans in?
Conspiracy-Keanu;What if exercise really can get rid of my depression, but my doctor wont tell me so I keep coming back for more pills?
Conspiracy-Keanu;What if actually have the capacity to understance calculus, and I'm just overthinking it?
First-World-Problems;When you find an on campus job, but it's a 30 minute walk from your class
First-World-Problems;I spend all my money on food, still hungry
Forever-Alone;Zombie apocalypse, the zombies rejected him
Forever-Alone;Orders broken heart friendship necklaces, only gets one
Forever-Alone;Lives long life, has nothing to show for it
Forever-Alone;Looks in the mirror, reflection walks away
Philosoraptor;What if I guess the right trivia takeover question, at three lyons tonight?
Philosoraptor;Not sure if the mongols were brutal, or just promoted prosperity and unified eurasia
Philosoraptor;To meme or not to meme
Philosoraptor;If cops are racist pshycho killers, why do we only want them to have guns?
Philosoraptor;Do transformers get car insurance or life insurance?
